Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Jevon Carter,PG,25,PHO,38,382,9.7,.477,.670,.019,2.1,11.9,7.2,14.7,1.9,1.6,6.1,13.3,,0.2,0.5,0.7,.087,,-2.3,1.9,-0.4,0.1
Wendell Carter Jr.,C,21,TOT,38,953,17.6,.595,.101,.445,10.2,24.4,17.4,12.0,1.2,2.8,13.6,19.2,,1.6,1.2,2.8,.143,,-0.6,0.0,-0.5,0.3
Wendell Carter Jr.,C,21,CHI,32,792,16.3,.578,.087,.440,10.0,24.8,17.5,12.1,1.1,2.6,14.0,18.9,,1.1,1.0,2.1,.129,,-1.3,-0.1,-1.4,0.1
Wendell Carter Jr.,C,21,ORL,6,161,24.4,.667,.161,.464,11.3,22.2,16.5,11.5,1.5,4.1,11.8,20.5,,0.5,0.2,0.7,.210,,3.0,0.5,3.4,0.2
Michael Carter-Williams,SG,29,ORL,27,705,9.8,.451,.213,.281,5.1,13.5,9.2,25.2,1.5,2.0,18.8,19.9,,-0.8,0.6,-0.2,-0.012,,-4.3,0.1,-4.2,-0.4
Alex Caruso,PG,26,LAL,41,837,10.7,.532,.463,.261,3.0,13.2,8.2,16.3,2.7,1.1,17.8,14.3,,0.1,1.6,1.7,.098,,-2.7,2.4,-0.3,0.4
Willie Cauley-Stein,C,27,DAL,35,599,14.7,.644,.063,.394,7.5,19.7,13.7,6.1,0.9,4.4,9.7,12.3,,1.2,0.7,1.9,.155,,-1.8,0.7,-1.1,0.1
Chris Chiozza,PG,25,BRK,20,202,14.4,.490,.514,.203,1.7,10.1,6.1,39.0,1.7,1.7,15.7,20.6,,0.3,0.2,0.4,.096,,-0.1,-0.4,-0.5,0.1
Marquese Chriss,PF,23,GSW,2,27,11.9,.412,.357,.286,11.8,39.4,25.6,11.2,0.0,6.6,11.3,28.0,,-0.1,0.0,0.0,-0.039,,-2.2,-1.0,-3.2,0.0
Gary Clark,SF,26,TOT,37,641,6.1,.439,.824,.076,5.2,13.5,9.2,6.3,0.9,1.0,11.2,10.3,,-0.2,0.4,0.2,.015,,-3.9,-0.9,-4.8,-0.5
Gary Clark,SF,26,ORL,35,637,6.1,.439,.824,.076,5.2,13.4,9.2,6.4,0.9,1.0,11.2,10.3,,-0.2,0.4,0.2,.014,,-3.8,-0.9,-4.8,-0.4
Gary Clark,F,26,DEN,2,4,2.9,,,,0.0,28.1,14.2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.036,,-8.5,0.3,-8.3,0.0
Brandon Clarke,PF,24,MEM,41,1056,17.5,.570,.157,.228,6.0,16.9,11.4,9.5,2.0,3.1,5.4,17.7,,1.7,1.5,3.2,.148,,0.4,1.0,1.4,0.9
Jordan Clarkson,SG,28,UTA,51,1296,16.8,.552,.585,.118,3.3,12.6,8.1,13.9,1.7,0.5,9.9,29.2,,1.2,1.7,2.8,.105,,2.0,-1.0,1.0,1.0
Nicolas Claxton,C,21,BRK,20,358,17.9,.585,.038,.368,9.9,18.8,14.5,7.7,1.8,6.3,8.9,16.4,,0.6,0.5,1.1,.149,,-0.5,1.0,0.5,0.2
Amir Coffey,SG,23,LAC,33,265,11.0,.620,.614,.243,2.6,8.7,5.7,7.6,1.3,0.0,12.4,14.8,,0.3,0.2,0.5,.085,,-0.9,-0.7,-1.6,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Collins,PF,23,ATL,47,1422,20.7,.630,.259,.252,7.7,20.2,14.0,7.6,0.9,3.0,7.7,22.4,,3.8,1.4,5.2,.175,,2.5,-0.4,2.1,1.5
Mike Conley,PG,33,UTA,41,1223,19.0,.597,.527,.208,2.8,9.0,6.0,27.6,2.2,0.4,12.3,22.7,,3.2,1.6,4.9,.191,,3.3,0.6,3.9,1.8
Pat Connaughton,SG,28,MIL,47,1095,11.6,.582,.668,.124,4.6,16.9,11.0,7.1,1.4,1.4,7.1,11.3,,1.5,1.2,2.7,.118,,-0.2,0.2,0.0,0.5
Quinn Cook,PG,27,TOT,23,157,12.9,.531,.382,.118,1.4,10.8,6.0,18.3,1.3,0.6,8.9,21.7,,0.1,0.1,0.2,.069,,-1.2,-0.4,-1.5,0.0
Quinn Cook,PG,27,LAL,16,62,14.0,.585,.500,.192,0.0,8.8,4.5,12.4,0.8,1.4,9.6,21.8,,0.1,0.1,0.1,.107,,-0.3,-0.8,-1.1,0.0
Quinn Cook,PG,27,CLE,7,95,12.2,.496,.310,.071,2.3,12.1,7.1,22.1,1.6,0.0,8.5,21.7,,0.0,0.1,0.1,.045,,-1.7,-0.1,-1.8,0.0
